Model,Accuracy,AUC,F1 Score,Sensitivity,Specificity
EfficientNet-B0,0.8363 ± 0.0124,0.9584 ± 0.0056,0.7881 ± 0.0115,0.9448 ± 0.0210,0.7837 ± 0.0279
MobileNetV3-Large,0.8128 ± 0.0426,0.9591 ± 0.0070,0.7667 ± 0.0471,0.9522 ± 0.0099,0.7474 ± 0.0602
