epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
10,0.8086662888526917,0.4449748694896698,1e-05,0.8814308047294617,0.829075813293457,0.7689276933670044,0.512804388999939,0.7931899428367615,0.9006919264793396
11,0.8147158026695251,0.4342356026172638,1e-05,0.880879819393158,0.8400830626487732,0.7697720527648926,0.5128479599952698,0.7915332913398743,0.9055759310722351
12,0.8187957406044006,0.43650302290916443,1e-05,0.8817926049232483,0.8458982110023499,0.7683647871017456,0.5166773796081543,0.7997065186500549,0.887260913848877
13,0.8193584680557251,0.42676007747650146,1e-05,0.8852280378341675,0.8425753116607666,0.7756825089454651,0.5069514513015747,0.7906162738800049,0.9190069437026978
14,0.8217501640319824,0.4292537569999695,1e-05,0.8839826583862305,0.848182737827301,0.7742752432823181,0.5076043605804443,0.7927131056785583,0.9120879173278809
15,0.8273776173591614,0.4181222915649414,1e-05,0.8846483826637268,0.8569055199623108,0.7723050713539124,0.51137375831604,0.7936564683914185,0.9063898921012878
16,0.8276589512825012,0.42239832878112793,1e-05,0.8875215649604797,0.8537902235984802,0.7754010558128357,0.5083440542221069,0.7911548018455505,0.9173789024353027
17,0.8349747061729431,0.41808927059173584,5e-06,0.8889363408088684,0.8643821477890015,0.7711792588233948,0.5113674998283386,0.7961094975471497,0.8994709253311157
18,0.8330050706863403,0.4145469069480896,5e-06,0.8896048069000244,0.8602284789085388,0.7742752432823181,0.5067104697227478,0.791887104511261,0.9137158989906311
19,0.8380697965621948,0.4091605544090271,5e-06,0.8926275372505188,0.8650051951408386,0.7711792588233948,0.5087469220161438,0.7927350401878357,0.9059829115867615
20,0.8304727077484131,0.41142764687538147,5e-06,0.8868409991264343,0.8593977093696594,0.772023618221283,0.5069310665130615,0.7935829162597656,0.9059829115867615
21,0.8390545845031738,0.4023923873901367,5e-06,0.8927883505821228,0.8664590120315552,0.7717421650886536,0.5078755617141724,0.7954056262969971,0.9019129276275635
