epoch,phase,train_loss,train_acc,train_recall,train_precision,val_loss,val_acc,val_recall,val_precision,lr
1,P1,0.4840,0.7814,0.9468,0.7784,0.5902,0.6946,0.7574,0.7919,0.0001
2,P1,0.4028,0.8305,0.9111,0.8495,0.5155,0.7582,0.8628,0.8024,0.0001
3,P1,0.3884,0.8413,0.9211,0.8557,0.5028,0.7746,0.8978,0.8004,0.0001
4,P2,0.3709,0.8475,0.9261,0.8596,0.4869,0.7796,0.8844,0.8132,1e-05
5,P2,0.3540,0.8576,0.9364,0.8646,0.4752,0.7926,0.8978,0.8195,1e-05
6,P2,0.3396,0.8637,0.9346,0.8731,0.4672,0.7979,0.9174,0.8140,1e-05
